Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 68\Prüfablauf - (1 von 100)\F4016_1_Realkollektiv_1_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
205	430674,784	6,155	-2,724	430674,809	5,636	-68,712	
206	430674,834	6,155	-2,697	430674,859	5,637	-68,598	
207	430674,884	6,155	-2,740	430674,909	5,636	-68,694	
208	430674,934	6,155	-2,714	430674,959	5,637	-68,619	
209	430674,984	6,155	-2,713	430675,009	5,636	-68,706	
210	430675,034	6,155	-2,738	430675,059	5,636	-68,623	
211	430675,084	6,155	-2,738	430675,109	5,636	-68,710	
212	430675,134	6,155	-2,661	430675,159	5,637	-68,566	
213	430675,184	6,155	-2,706	430675,209	5,636	-68,698	
214	430675,234	6,155	-2,727	430675,259	5,637	-68,586	
215	430675,284	6,156	-2,618	430675,309	5,636	-68,717	
216	430675,334	6,155	-2,738	430675,359	5,637	-68,572	
217	430675,384	6,155	-2,704	430675,409	5,636	-68,680	
218	430675,434	6,156	-2,667	430675,459	5,637	-68,561	
219	430675,484	6,156	-2,720	430675,509	5,636	-68,726	
220	430675,534	6,155	-2,749	430675,559	5,636	-68,587	
221	430675,584	6,156	-2,662	430675,609	5,636	-68,737	
222	430675,634	6,155	-2,707	430675,659	5,636	-68,614	
223	430675,684	6,155	-2,669	430675,709	5,636	-68,705	
224	430675,734	6,155	-2,778	430675,759	5,637	-68,576	
225	430675,784	6,156	-2,644	430675,809	5,636	-68,719	
226	430675,834	6,155	-2,725	430675,859	5,636	-68,560	
227	430675,884	6,156	-2,619	430675,909	5,636	-68,719	
228	430675,934	6,156	-2,700	430675,959	5,636	-68,583	
229	430675,984	6,156	-2,627	430676,009	5,636	-68,728	
230	430676,034	6,155	-2,691	430676,059	5,637	-68,603	
231	430676,084	6,155	-2,721	430676,109	5,637	-68,682	
232	430676,134	6,155	-2,732	430676,159	5,637	-68,616	
233	430676,184	6,155	-2,700	430676,209	5,636	-68,715	
234	430676,234	6,155	-2,739	430676,259	5,636	-68,603	
235	430676,284	6,155	-2,672	430676,309	5,636	-68,669	
236	430676,334	6,155	-2,666	430676,359	5,637	-68,559	
237	430676,384	6,156	-2,650	430676,409	5,636	-68,691	
238	430676,434	6,156	-2,614	430676,459	5,637	-68,599	
239	430676,484	6,156	-2,665	430676,509	5,636	-68,720	
240	430676,534	6,156	-2,635	430676,559	5,636	-68,645	
241	430676,584	6,156	-2,659	430676,609	5,636	-68,646	
242	430676,634	6,156	-2,645	430676,659	5,637	-68,610	
243	430676,684	6,156	-2,650	430676,709	5,636	-68,684	
244	430676,734	6,155	-2,686	430676,759	5,636	-68,582	
245	430676,784	6,156	-2,566	430676,809	5,637	-68,638	
246	430676,834	6,156	-2,600	430676,859	5,636	-68,598	
247	430676,884	6,155	-2,696	430676,909	5,636	-68,679	
248	430676,934	6,155	-2,695	430676,959	5,637	-68,559	
249	430676,984	6,155	-2,640	430677,009	5,636	-68,741	
250	430677,034	6,156	-2,636	430677,059	5,636	-68,641	
251	430677,084	6,156	-2,591	430677,109	5,636	-68,676	
252	430677,134	6,154	-2,815	430677,159	5,636	-68,582	
253	430677,184	6,156	-2,675	430677,209	5,636	-68,723	
254	430677,234	6,154	-2,743	430677,259	5,636	-68,588	
255	430677,284	6,155	-2,668	430677,309	5,636	-68,694	
256	430677,334	6,155	-2,667	430677,359	5,636	-68,613	
257	430677,384	6,156	-2,607	430677,409	5,636	-68,688	
258	430677,434	6,156	-2,683	430677,459	5,637	-68,573	
259	430677,484	6,156	-2,634	430677,509	5,636	-68,674	
260	430677,534	6,156	-2,695	430677,559	5,636	-68,634	
261	430677,584	6,156	-2,655	430677,609	5,636	-68,672	
262	430677,634	6,156	-2,660	430677,659	5,636	-68,596	
263	430677,684	6,156	-2,566	430677,709	5,636	-68,725	
264	430677,734	6,155	-2,735	430677,759	5,637	-68,608	
265	430677,784	6,157	-2,576	430677,809	5,636	-68,720	
266	430677,834	6,155	-2,768	430677,859	5,636	-68,625	
267	430677,884	6,155	-2,650	430677,909	5,636	-68,709	
268	430677,934	6,156	-2,643	430677,959	5,637	-68,596	
269	430677,984	6,156	-2,582	430678,009	5,636	-68,731	
270	430678,034	6,156	-2,662	430678,059	5,636	-68,600	
271	430678,084	6,155	-2,675	430678,109	5,636	-68,702	
272	430678,134	6,155	-2,745	430678,159	5,637	-68,583	
273	430678,184	6,155	-2,705	430678,209	5,636	-68,682	
274	430678,234	6,155	-2,745	430678,259	5,636	-68,623	
275	430678,284	6,156	-2,645	430678,309	5,636	-68,683	
276	430678,334	6,155	-2,708	430678,359	5,637	-68,581	
277	430678,384	6,156	-2,638	430678,409	5,636	-68,697	
278	430678,434	6,156	-2,654	430678,459	5,637	-68,590	
279	430678,484	6,156	-2,599	430678,509	5,637	-68,641	
280	430678,534	6,155	-2,706	430678,559	5,637	-68,590	
281	430678,584	6,156	-2,681	430678,609	5,636	-68,710	
282	430678,634	6,156	-2,638	430678,659	5,637	-68,577	
283	430678,684	6,155	-2,685	430678,709	5,636	-68,716	
284	430678,734	6,156	-2,651	430678,759	5,636	-68,601	
285	430678,784	6,156	-2,649	430678,809	5,636	-68,659	
286	430678,834	6,155	-2,674	430678,859	5,637	-68,643	
287	430678,884	6,156	-2,622	430678,909	5,637	-68,673	
288	430678,934	6,156	-2,604	430678,959	5,636	-68,608	
289	430678,984	6,155	-2,709	430679,009	5,636	-68,696	
290	430679,034	6,155	-2,700	430679,059	5,637	-68,602	
291	430679,084	6,156	-2,655	430679,109	5,636	-68,704	
292	430679,134	6,156	-2,687	430679,159	5,637	-68,596	
293	430679,184	6,155	-2,704	430679,209	5,636	-68,699	
294	430679,234	6,156	-2,649	430679,259	5,637	-68,575	
295	430679,284	6,155	-2,661	430679,309	5,636	-68,718	
296	430679,334	6,155	-2,739	430679,359	5,636	-68,593	
297	430679,384	6,155	-2,633	430679,409	5,636	-68,688	
298	430679,434	6,155	-2,693	430679,459	5,637	-68,612	
299	430679,484	6,156	-2,663	430679,509	5,636	-68,650	
300	430679,534	6,156	-2,639	430679,559	5,636	-68,624	
301	430679,584	6,155	-2,708	430679,609	5,636	-68,699	
302	430679,634	6,155	-2,720	430679,659	5,637	-68,618	
303	430679,684	6,155	-2,746	430679,709	5,636	-68,690	
