Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 17\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#3.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
310	88588,084	6,108	-2,914	88588,109	5,557	-70,778	
311	88588,134	6,108	-2,951	88588,159	5,558	-70,773	
312	88588,184	6,108	-2,868	88588,209	5,557	-70,792	
313	88588,234	6,109	-2,899	88588,259	5,559	-70,701	
314	88588,284	6,109	-2,871	88588,309	5,558	-70,730	
315	88588,334	6,109	-2,882	88588,359	5,557	-70,783	
316	88588,384	6,107	-2,918	88588,409	5,557	-70,744	
317	88588,434	6,109	-2,881	88588,459	5,559	-70,738	
318	88588,484	6,109	-2,828	88588,509	5,558	-70,783	
319	88588,534	6,108	-3,000	88588,559	5,558	-70,728	
320	88588,584	6,107	-2,874	88588,609	5,559	-70,714	
321	88588,634	6,109	-2,892	88588,659	5,558	-70,786	
322	88588,684	6,108	-2,846	88588,709	5,557	-70,768	
323	88588,734	6,107	-2,898	88588,759	5,558	-70,786	
324	88588,784	6,108	-2,815	88588,809	5,557	-70,720	
325	88588,834	6,108	-2,949	88588,859	5,557	-70,764	
326	88588,884	6,109	-2,836	88588,909	5,557	-70,726	
327	88588,934	6,108	-2,969	88588,959	5,558	-70,776	
328	88588,984	6,108	-2,848	88589,009	5,557	-70,761	
329	88589,034	6,108	-2,864	88589,059	5,558	-70,724	
330	88589,084	6,108	-2,852	88589,109	5,558	-70,765	
331	88589,134	6,108	-3,005	88589,159	5,558	-70,736	
332	88589,184	6,108	-2,864	88589,209	5,557	-70,727	
333	88589,234	6,108	-2,949	88589,259	5,559	-70,713	
334	88589,284	6,108	-2,853	88589,309	5,558	-70,788	
335	88589,334	6,108	-2,852	88589,359	5,558	-70,786	
