Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 21\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
323	154525,039	6,102	-2,893	154525,064	5,556	-70,707	
324	154525,089	6,104	-2,849	154525,114	5,555	-70,658	
325	154525,139	6,102	-2,906	154525,164	5,557	-70,694	
326	154525,189	6,103	-2,878	154525,214	5,557	-70,603	
327	154525,239	6,102	-2,853	154525,264	5,556	-70,742	
328	154525,289	6,104	-2,887	154525,314	5,555	-70,659	
329	154525,339	6,102	-2,869	154525,364	5,556	-70,767	
330	154525,389	6,104	-2,845	154525,414	5,555	-70,696	
331	154525,439	6,104	-2,854	154525,464	5,554	-70,797	
332	154525,489	6,104	-2,852	154525,514	5,555	-70,710	
333	154525,539	6,103	-2,813	154525,564	5,556	-70,785	
334	154525,589	6,104	-2,858	154525,614	5,555	-70,699	
335	154525,639	6,102	-2,884	154525,664	5,557	-70,704	
336	154525,689	6,103	-2,912	154525,714	5,556	-70,639	
337	154525,739	6,104	-2,803	154525,764	5,556	-70,710	
338	154525,789	6,103	-2,829	154525,814	5,555	-70,638	
339	154525,839	6,102	-2,931	154525,864	5,555	-70,716	
340	154525,889	6,103	-2,902	154525,914	5,557	-70,654	
341	154525,939	6,104	-2,823	154525,964	5,556	-70,730	
342	154525,989	6,102	-2,865	154526,014	5,555	-70,676	
343	154526,039	6,103	-2,842	154526,064	5,557	-70,686	
344	154526,089	6,104	-2,859	154526,114	5,557	-70,620	
345	154526,139	6,104	-2,857	154526,164	5,555	-70,689	
346	154526,189	6,102	-2,882	154526,214	5,555	-70,695	
347	154526,239	6,104	-2,787	154526,264	5,557	-70,700	
348	154526,289	6,103	-2,863	154526,314	5,557	-70,631	
349	154526,339	6,102	-2,901	154526,364	5,556	-70,755	
350	154526,389	6,103	-2,874	154526,414	5,555	-70,683	
351	154526,439	6,103	-2,912	154526,464	5,555	-70,723	
352	154526,489	6,103	-2,857	154526,514	5,556	-70,667	
353	154526,539	6,102	-2,901	154526,564	5,556	-70,723	
354	154526,589	6,103	-2,831	154526,614	5,556	-70,724	
355	154526,639	6,103	-2,812	154526,664	5,556	-70,748	
356	154526,689	6,104	-2,841	154526,714	5,555	-70,648	
357	154526,739	6,104	-2,861	154526,764	5,556	-70,668	
358	154526,789	6,103	-2,813	154526,814	5,557	-70,613	
359	154526,839	6,103	-2,899	154526,864	5,556	-70,727	
360	154526,889	6,103	-2,907	154526,914	5,555	-70,702	
361	154526,939	6,103	-2,825	154526,964	5,557	-70,699	
362	154526,989	6,102	-2,890	154527,014	5,557	-70,645	
363	154527,039	6,103	-2,872	154527,064	5,555	-70,745	
364	154527,089	6,102	-2,883	154527,114	5,557	-70,671	
365	154527,139	6,104	-2,779	154527,164	5,555	-70,805	
366	154527,189	6,104	-2,801	154527,214	5,555	-70,637	
367	154527,239	6,103	-2,847	154527,264	5,556	-70,707	
368	154527,289	6,102	-2,932	154527,314	5,557	-70,605	
369	154527,339	6,103	-2,820	154527,364	5,556	-70,707	
370	154527,389	6,103	-2,890	154527,414	5,555	-70,636	
371	154527,439	6,103	-2,877	154527,464	5,556	-70,685	
372	154527,489	6,104	-2,832	154527,514	5,556	-70,679	
373	154527,539	6,104	-2,814	154527,564	5,555	-70,781	
374	154527,589	6,104	-2,849	154527,614	5,556	-70,704	
375	154527,639	6,104	-2,870	154527,664	5,556	-70,684	
376	154527,689	6,103	-2,846	154527,714	5,557	-70,671	
377	154527,739	6,103	-2,860	154527,764	5,555	-70,778	
378	154527,789	6,105	-2,802	154527,814	5,555	-70,659	
379	154527,839	6,103	-2,892	154527,864	5,557	-70,700	
380	154527,889	6,103	-2,883	154527,914	5,556	-70,709	
381	154527,939	6,102	-2,923	154527,964	5,556	-70,716	
382	154527,989	6,104	-2,775	154528,014	5,555	-70,675	
383	154528,039	6,105	-2,772	154528,064	5,554	-70,778	
384	154528,089	6,104	-2,875	154528,114	5,555	-70,699	
385	154528,139	6,103	-2,880	154528,164	5,555	-70,730	
386	154528,189	6,102	-2,898	154528,214	5,555	-70,664	
387	154528,239	6,104	-2,765	154528,264	5,556	-70,704	
388	154528,289	6,104	-2,830	154528,314	5,557	-70,643	
389	154528,339	6,103	-2,845	154528,364	5,555	-70,763	
390	154528,389	6,103	-2,864	154528,414	5,556	-70,680	
